francophoneoption3_title;프랑스어권 인권 및 복지 육성;Promote human rights & welfare in La Francophonie;;;;;;;;x
francophoneoption3_desc;프랑스어권 국가들 간에 인권과 복지를 육성해 회원국들이 진정으로 시민들을 돌보는 더 인도적인 정부를 갖도록 돕습니다.;Promote human rights & welfare in La Francophonie will help the La Francophonie member states to have a more humane governments that truly care for their citizens.;;;;;;;;x
francophoneoption4_title;프랑스어권 비간섭주의 육성;Promote non-interventionism in La Francophonie;;;;;;;;x
francophoneoption4_desc;프랑스어권 국가들 간에 비간섭주의를 육성해 국제주의의 격동의 역풍으로부터 회원국들을 보호하고 회원국들을 내정간섭으로부터 보호합니다.;Promote non-interventionism in La Francophonie to help protect members from the tumultous headwinds of internationalism and protect members from unwanted La Francophonie interference in internal affairs.;;;;;;;;x
franc_area;프랑통화동맹 회원국;Member of the Franc Currency Union;;;;;;;;x
post_colonial_chaos;독립 이후의 혼란;Post Independence Chaos;;;;;;;;x
revolution_chaos;혁명 시작;Revolutionary Stirrings;;;;;;;;x
francophoneoption1;프랑스어권 무역 중점;La Francophonie Trade Focus;;;;;;;;x
francophoneoption2;프랑스어권 민주주의 중점;La Francophonie Democracy Focus;;;;;;;;x
francophoneoption3;프랑스어권 사회주의 중점;La Francophonie Socialism Focus;;;;;;;;x
francophoneoption4;프랑스어권 비간섭주의 중점;La Francophonie Non-Interventionism Focus;;;;;;;;x
joinfrancophone_title;프랑스어권 가입;Join the La Francophonie;;;;;;;;x
joinfrancophone_desc;프랑스어권 국제기구는 프랑스어가 모국어거나 관습어인 국가 및 지역을 대표하는 국제기구로, 인구의 상당수가 프랑스어 화자거나 프랑스 문화와의 두드러진 관계가 있는 곳입니다. 해당 조직은 57개 주 및 정부, 3개 부위원 및 20명의 관찰자로 구성됩니다. 프랑코포니라는 용어는 또한 프랑스어를 사용하는 사람들을 통칭하는 말로, 프랑스 국민이나 프랑스에게 문화적/군사적/정치적으로 중요했던 국가들과의 관계를 증진하는 민간/공공단체망으로 구성되어 있습니다. 현대적인 조직은 1970년에 만들어졌고, 이들의 구호인 평등, 상보성, 연대는 프랑스의 구호인 자유를 의도적으로 암시합니다. 처음 프랑스어권 국가들의 소모임으로 시작한 프랑코포니는 문화, 과학, 경제, 정의, 그리고 평화 분야에서 수많은 지부가 회원국과 협력하는 세계적인 조직으로 발전했습니다.;The Organisation internationale de la Francophonie (OIF), generally known as the Francophonie (French: La Francophonie), but also called International Organisation of La Francophonie in English language context, is an international organization representing countries and regions where French is the first ("mother") or customary language, where a significant proportion of the population are francophones (French speakers) or where there is a notable affiliation with French culture. The organization comprises 57 member states and governments, three associate members and twenty observers. The term francophonie (with a lowercase "f"), or francosphere (often capitalised in English) also refers to the global community of French-speaking peoples, comprising a network of private and public organizations promoting equal ties among countries where French people or France played a significant historical role, culturally, militarily or politically. French geographer On?ime Reclus, brother of ?is? Reclus, coined the word Francophonie in 1880 to refer to the community of people and countries using the French language. Francophonie was then coined a second time by L?pold S?ar Senghor, founder of the N?ritude movement, in the review Esprit in 1962, who assimilated it into Humanism. The modern organisation was created in 1970. Its motto is ?alit? compl?entarit? solidarit?("equality, complementarity, and solidarity"), a deliberate allusion to France's motto libert? ?alit? fraternit? Started as a small club of northern French-speaking countries, the Francophonie has since evolved into a global organization whose numerous branches cooperate with its member states in the fields of culture, science, economy, justice, and peace.;;;;;;;;x
formthefrancophone_title;프랑스어권 국제기구 창설;Form the Organisation internationale de la Francophonie;;;;;;;;x
formthefrancophone_desc;프랑스어권 국제기구는 프랑스어가 모국어거나 관습어인 국가 및 지역을 대표하는 국제기구로, 인구의 상당수가 프랑스어 화자거나 프랑스 문화와의 두드러진 관계가 있는 곳입니다. 해당 조직은 57개 주 및 정부, 3개 부위원 및 20명의 관찰자로 구성됩니다. 프랑코포니라는 용어는 또한 프랑스어를 사용하는 사람들을 통칭하는 말로, 프랑스 국민이나 프랑스에게 문화적/군사적/정치적으로 중요했던 국가들과의 관계를 증진하는 민간/공공단체망으로 구성되어 있습니다. 현대적인 조직은 1970년에 만들어졌고, 이들의 구호인 평등, 상보성, 연대는 프랑스의 구호인 자유를 의도적으로 암시합니다. 처음 프랑스어권 국가들의 소모임으로 시작한 프랑코포니는 문화, 과학, 경제, 정의, 그리고 평화 분야에서 수많은 지부가 회원국과 협력하는 세계적인 조직으로 발전했습니다.;The Organisation internationale de la Francophonie (OIF), generally known as the Francophonie (French: La Francophonie), but also called International Organisation of La Francophonie in English language context, is an international organization representing countries and regions where French is the first ("mother") or customary language, where a significant proportion of the population are francophones (French speakers) or where there is a notable affiliation with French culture. The organization comprises 57 member states and governments, three associate members and twenty observers. The term francophonie (with a lowercase "f"), or francosphere (often capitalised in English) also refers to the global community of French-speaking peoples, comprising a network of private and public organizations promoting equal ties among countries where French people or France played a significant historical role, culturally, militarily or politically. French geographer On?ime Reclus, brother of ?is? Reclus, coined the word Francophonie in 1880 to refer to the community of people and countries using the French language. Francophonie was then coined a second time by L?pold S?ar Senghor, founder of the N?ritude movement, in the review Esprit in 1962, who assimilated it into Humanism. The modern organisation was created in 1970. Its motto is ?alit? compl?entarit? solidarit?("equality, complementarity, and solidarity"), a deliberate allusion to France's motto libert? ?alit? fraternit? Started as a small club of northern French-speaking countries, the Francophonie has since evolved into a global organization whose numerous branches cooperate with its member states in the fields of culture, science, economy, justice, and peace.;;;;;;;;x
leavefrancophone_title;프랑스어권 국제기구 탈퇴;Leave the La Francophonie;;;;;;;;x
leavefrancophone_desc;프랑스어권 국제기구는 프랑스어가 모국어거나 관습어인 국가 및 지역을 대표하는 국제기구로, 인구의 상당수가 프랑스어 화자거나 프랑스 문화와의 두드러진 관계가 있는 곳입니다. 해당 조직은 57개 주 및 정부, 3개 부위원 및 20명의 관찰자로 구성됩니다. 프랑코포니라는 용어는 또한 프랑스어를 사용하는 사람들을 통칭하는 말로, 프랑스 국민이나 프랑스에게 문화적/군사적/정치적으로 중요했던 국가들과의 관계를 증진하는 민간/공공단체망으로 구성되어 있습니다. 현대적인 조직은 1970년에 만들어졌고, 이들의 구호인 평등, 상보성, 연대는 프랑스의 구호인 자유를 의도적으로 암시합니다. 처음 프랑스어권 국가들의 소모임으로 시작한 프랑코포니는 문화, 과학, 경제, 정의, 그리고 평화 분야에서 수많은 지부가 회원국과 협력하는 세계적인 조직으로 발전했습니다.;The Organisation internationale de la Francophonie (OIF), generally known as the Francophonie (French: La Francophonie), but also called International Organisation of La Francophonie in English language context, is an international organization representing countries and regions where French is the first ("mother") or customary language, where a significant proportion of the population are francophones (French speakers) or where there is a notable affiliation with French culture. The organization comprises 57 member states and governments, three associate members and twenty observers. The term francophonie (with a lowercase "f"), or francosphere (often capitalised in English) also refers to the global community of French-speaking peoples, comprising a network of private and public organizations promoting equal ties among countries where French people or France played a significant historical role, culturally, militarily or politically. French geographer On?ime Reclus, brother of ?is? Reclus, coined the word Francophonie in 1880 to refer to the community of people and countries using the French language. Francophonie was then coined a second time by L?pold S?ar Senghor, founder of the N?ritude movement, in the review Esprit in 1962, who assimilated it into Humanism. The modern organisation was created in 1970. Its motto is ?alit? compl?entarit? solidarit?("equality, complementarity, and solidarity"), a deliberate allusion to France's motto libert? ?alit? fraternit? Started as a small club of northern French-speaking countries, the Francophonie has since evolved into a global organization whose numerous branches cooperate with its member states in the fields of culture, science, economy, justice, and peace.;;;;;;;;x
francophonemember;프랑스어권 국제기구 회원국;Member of the La Francophonie;;;;;;;;x
francophonemembereng;프랑스어권 국제기구 맹주;Leader of the La Francophonie;;;;;;;;x
francophone;프랑스어권 국제기구;La Francophonie;;;;;;;;x
opecmember;석유수출국기구 회원국;Member of the Organisation of Petroleum Exporting Countries (OPEC);;;;;;;;x
joinopec_title;석유수출국기구 가입;Join the Organisation of Petroleum Exporting Countries (OPEC);;;;;;;;x
joinopec_desc;석유수출국기구는 1960년 9월 10일 이란, 이라크, 쿠웨이트, 사우디아라비아, 베네수엘라가 바그다드 회의를 통해 창설한 정부간 기구입니다. 5개국이 창설한 이후 9개국이 더 가입했는데, 2009년 1월부터 2015년 12월까지 리비아(1962년), 아랍에미리트(1967년), 알제리(1969년), 나이지리아(1971년), 에콰도르(1973년)가 가입했습니다. 1992년 12월부터 2007년 10월까지 가입한 앙골라(2007년)와 가봉(1975년)은 회원 자격이 정지됐었으나 2016년 7월과 1995년 1월에 다시 합류했습니다. 1965년 9월 1일 이들은 설립 5년 만에 본사를 스위스 제네바에서 오스트리아 빈으로 옮겼습니다. 이들의 목표는 석유생산국들이 유가를 공정하고 안정적으로 조정하게 돕고, 소비국에게 효율적, 경제적, 규칙적으로 석유를 공급하며, 산업국가들의 공정한 수익 확보를 위해 회원국들 간의 석유정책을 조정하고 통합하는 것입니다.;The Organization of the Petroleum Exporting Countries (OPEC) is a permanent, intergovernmental Organization, created at the Baghdad Conference on September 10?4, 1960, by Iran, Iraq, Kuwait, Saudi Arabia and Venezuela. The five Founding Members were later joined by nine other Members: Qatar (1961); Indonesia (1962) ?suspended its membership from January 2009-December 2015; Libya (1962); United Arab Emirates (1967); Algeria (1969); Nigeria (1971); Ecuador (1973) ?suspended its membership from December 1992-October 2007; Angola (2007); and Gabon (1975) - terminated its membership in January 1995 but rejoined in July 2016. OPEC had its headquarters in Geneva, Switzerland, in the first five years of its existence. This was moved to Vienna, Austria, on September 1, 1965. OPEC's objective is to co-ordinate and unify petroleum policies among Member Countries, in order to secure fair and stable prices for petroleum producers; an efficient, economic and regular supply of petroleum to consuming nations; and a fair return on capital to those investing in the industry;;;;;;;;x
colonial_war;식민전쟁;Colonial War;;;;;;;;x;;;;;;;;;;;;;
colonial_war_desc;식민지의 분리주의 반군을 진압해 식민제국을 보존합니다.;To preserve our colonial empire we need to fight colonial wars.;;;;;;;;x;;;;;;;;;;;;;
colonial_war_setup;식민지의 분리주의 반군을 진압합니다.;Suppress the separatist rebels in our colonies;;;;;;;;x;;;;;;;;;;;;;
colonial_war_short;식민지 질서회복;Restore Order in Colony;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1400014;도이모이는 1986년 베트남이 시작한 경제개혁의 명칭으로, "사회주의적 시장경제"를 만들겠다는 목표를 갖습니다. "도이모이"라는 용어 자체는 베트남어에서 개혁이라는 뜻으로 널리 사용되는 일반적인 용어이지만, 도이모이 정책은 한정적으로 해당 개혁을 언급할 때 쓰이는 용어입니다. 공산주의 정부인 베트남 사회주의 공화국은 출범 이후 중앙계획경제를 채택했습니다. 중앙정부는 명령경제하에서 생산목표와 가격, 투입물품, 국내 도소매업, 국제무역 등을 결정했었습니다. 국가는 개별 생산단위의 상업적 접촉이 없는 수직적 통합경제를 조성하는 것을 목표로 했었습니다. 농업분야에서는 3단계로 협동조합을 구성했었습니다. 하지만 베트남 공산당 제6차 전국대회를 시작으로 1980년대 후반까지 이러한 계획경제는 차례로 폐지됐습니다.;Doi Moi is the name given to the economic reforms initiated in Vietnam in 1986 with the goal of creating a "socialist-oriented market economy". The term, "Doi moi," itself, is a general term with wide use in the Vietnamese language, however the Doi Moi Policy (Ch?h s?h Doi Moi) refers specifically to these reforms. The communist government in the north, the Democratic Republic of Vietnam (DRV), adopted a centrally planned economy since its inception. Under the command economy, the central government decided output targets and prices, input supplies, domestic wholesale and retail trade, and international trade; the state was aiming at creating a vertically integrated economy where there was no commercial contact among individual production units horizontally. In the agricultural sector, the government formed cooperatives in three stages; production solidarity groups, lower-level cooperatives where land and equipment were shared, and higher-level cooperatives in which a system of workpoints determined distribution of all income. However, the command economy was abolished by the late 1980s following the 6th National Congress of the Communist Party of Vietnam.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1400015;중화인민공화국의 경제개혁은 덩샤오핑이 이끄는 중국 공산당 내부의 개혁파들이 1978년 12월 시작한 '중국적 사회주의'라는 제목의 경제개혁계획을 말합니다. 시장원리를 도입한 경제개혁은 1978년부터 두 단계로 진행됐습니다. 1970년대 후반과 1980년대 초반의 첫 단계에는 농업의 탈집단화, 외국인 투자 개방, 사기업 창업 허가 등을 포함했습니다. 이때까지 대부분의 산업은 여전히 국영기업으로 남아있습니다. 1980년대 후반과 1990년대 두 번째 개혁에서는 은행과 석유 등을 제외한 많은 국영산업을 민영화했으며, 가격 통제, 보호주의적 무역정책, 그리고 규제를 해소했습니다. 민간 부문은 2005년까지 중국의 국내총생산의 70%를 차지할 정도로 괄목할만큼 성장했습니다. 1978년부터 2013년까지 경제가 연간 9.5% 성장하는 등 전례 없는 성장이 이뤄졌습니다. 한편 보수적인 정부는 2005년 이후 경제를 더욱 엄격하게 규제하고 통제하면서 일부 개혁을 뒤집었습니다.;The Chinese Economic Reform refers to the program of economic reforms termed "Socialism with Chinese characteristics" in the People's Republic of China (PRC) that was started in December 1978 by reformists within the Communist Party of China, led by Deng Xiaoping. Economic reforms introducing market principles began in 1978 and were carried out in two stages. The first stage, in the late 1970s and early 1980s, involved the decollectivization of agriculture, the opening up of the country to foreign investment, and permission for entrepreneurs to start businesses. However, most industry remained state-owned. The second stage of reform, in the late 1980s and 1990s, involved the privatization and contracting out of much state-owned industry and the lifting of price controls, protectionist policies, and regulations, although state monopolies in sectors such as banking and petroleum remained. The private sector grew remarkably, accounting for as much as 70 percent of China gross domestic product by 2005. From 1978 until 2013, unprecedented growth occurred, with the economy increasing by 9.5% a year. The conservative Hu-Wen Administration more heavily regulated and controlled the economy after 2005, reversing some reforms.;;;;;;;;x;;;;;;;;;;;;;
antarticclaims;남극 영유권 주장;Claimed Antarctic Territory;;;;;;;;x;;;;;;;;;;;;;
iceclaims_title;남극 영유권 주장;Claim Antarctic Territory;;;;;;;;x;;;;;;;;;;;;;
iceclaims_desc;집합적으로 남극조약체제로 알려진 남극조약과 관련 협정들은 토착인구가 없는 지구상의 유일한 대륙인 남극에 대한 국제관계를 규제합니다. 조약체계의 목적상, 먼저 남극대륙을 위도 60도 남쪽의 모든 땅과 빙붕으로 정의합니다. 1961년 발효돼 2016년 현재 53개 조항이 있는 해당 조약은 남극대륙을 과학적 보호구역으로 지정해 과학적 조사의 자유를 확립했습니다. 동시에 해당 조약은 냉전시대에 체결한 최초의 무기제한협정으로, 남극대륙에서의 군사활동을 금지합니다. 남극조약사무국 본부는 2004년 9월부터 아르헨티나 부에노스아이레스에 위치합니다. 본 조약은 1959년 12월 1일에 서명돼 1961년 6월 23일에 공식적으로 발효됐습니다. 원래의 서명국은 1957년 8월 국제지구물리학의 해 동안 남극에서 활동한 12개국입니다. 그 당시 남극에 상당한 관심을 가졌던 12개국은 다음과 같습니다. 아르헨티나, 호주, 벨기에, 칠레, 프랑스, 일본, 뉴질랜드, 노르웨이, 남아프리카, 소련, 영국, 그리고 미국입니다. 해당국들은 50개 이상의 남극기지를 설립했습니다. 해당 조약은 '얼음 위에서' 성사된 작전과 과학적 협력을 외교적으로 표현한 것입니다.;The Antarctic Treaty and related agreements, collectively known as the Antarctic Treaty System (ATS), regulate international relations with respect to Antarctica, Earth's only continent without a native human population. For the purposes of the treaty system, Antarctica is defined as all of the land and ice shelves south of 60캳 latitude. The treaty, entering into force in 1961 and having 53 parties as of 2016, sets aside Antarctica as a scientific preserve, establishes freedom of scientific investigation and bans military activity on that continent. The treaty was the first arms control agreement established during the Cold War. The Antarctic Treaty Secretariat headquarters have been located in Buenos Aires, Argentina, since September 2004. The main treaty was opened for signature on December 1, 1959, and officially entered into force on June 23, 1961. The original signatories were the 12 countries active in Antarctica during the International Geophysical Year (IGY) of 1957?8. The twelve countries that had significant interests in Antarctica at the time were: Argentina, Australia, Belgium, Chile, France, Japan, New Zealand, Norway, South Africa, the Soviet Union, the United Kingdom and the United States. These countries had established over 50 Antarctic stations for the IGY. The treaty was a diplomatic expression of the operational and scientific cooperation that had been achieved "on the ice".;;;;;;;;x;;;;;;;;;;;;;
EVTDESC19821928;최근까지 초강대국은 양국 관계를 심각하게 악화시킨 중대한 위기에 처한 상태였습니다. 적개심과 의심이 너무 커진 미국은 소련에게 자신의 이익을 받아들이도록 강요할 목적으로 선전포고를 결정했습니다.;Until recently the Superpowers have been engaged in a significant crisis that has severely poisoned the relationship between the 2 nations. The hostility and suspicion has become so great that the USA has decided, unilaterally, to declare war against the Soviet Union with the intention of forcing the Soviets to accept American interests.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC19831938;최근까지 초강대국은 양국 관계를 심각하게 악화시킨 중대한 위기에 처한 상태였습니다. 적개심과 의심이 너무 커진 소련은 미국에게 자신의 이익을 받아들이도록 강요할 목적으로 선전포고를 결정했습니다.;Until recently the Superpowers have been engaged in a significant crisis that has severely poisoned the relationship between the 2 nations. The hostility and suspicion has become so great that the USSR has decided, unilaterally, to declare war against the United States with the intention of forcing the Americans to accept Soviet interests.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC9000002;2000년은 그레고리력으로 토요일, 서력으로 2000년, 제2천년의 마지막이자 100번째 해, 20세기의 마지막이자 100번째해, 그리고 2000년대의 첫 해입니다. 0을 기준으로 연도를 분류하는 경향이 있는 대중문화에서는 2000년을 21세기와 제3천년의 원년으로 여깁니다. 그레고리력에 따르면, 한세기는 기원후 1년에 소급해 시작하는데다 0년은 없으므로, 제1천년이 1년에서 1000년까지, 그리고 제2천년은 1001년에서 2000년까지를 포함합니다. 우리나라에서 2000년을 새천년이라 부르듯이, 서구에서는 2000년을 "Y2K"로 약칭합니다("Y"는 "year"를 의미하며, "K"는 "gilo"를 의미). 2000년에 대해 재밌는 이야기를 하자면, 컴퓨터의 데이터들이 1999년에서 2000년으로 올바르게 이동하지 않을 것이라는 우려가 있었습니다. 하지만 1999년 말까지 많은 회사들이 이미 소프트웨어를 전환하거나 업그레이드하면서, 상대적으로 문제가 거의 발생하지 않았습니다.;2000 (MM) was a century leap year starting on Saturday (dominical letter BA) of the Gregorian calendar, the 2000th year of the Common Era (CE) and Anno Domini (AD) designations, the 1000th and last year of the 2nd millennium, the 100th and last year of the 20th century, and the 1st year of the 2000s decade. Popular culture holds the year 2000 as the first year of the 21st century and the 3rd millennium due to a tendency of grouping the years according to decimal values, as if year zero were counted. According to the Gregorian Calendar, these distinctions fall to the year 2001 because the 1st century was retroactively said to start with year AD 1. Since the calendar does not have year zero, its first millennium spanned from years 1 to 1000 inclusively and its second millennium from years 1001 to 2000 (See more at Millennium). The year 2000 is sometimes abbreviated as "Y2K" (the "Y" stands for "year", and the "K" stands for "kilo" which means "thousand"). The year 2000 was the subject of Y2K concerns, which are fears that computers would not shift from 1999 to 2000 correctly. However, by the end of 1999, many companies had already converted to new, or upgraded, existing software. Some even obtained Y2K certification. As a result of massive effort, relatively few problems occurred.;;;;;;;;x;;;;;;;;;;;;;
sterling_area;파운드 통용지역;Member of the Sterling Area;;;;;;;;x;;;;;;;;;;;;;
ga_adangbe;가아당베;GaAdangbe;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1400018;스털링지역은 자국 통화를 파운드화에 고정하거나 파운드화를 자국통화로 사용하는 국가들을 가리키는 용어입니다. 이같은 국가들은 1930년대 초인 1931년 파운드화가 금본위제를 폐지하자 비공식적으로 나타나기 시작했고, 그 결과 역사적으로 파운드화로 수많은 거래를 했던 나라들의 많은 통화들이 금 대신 파운드화에 고정됐습니다. 이 나라들 중 다수는 대영제국과 영연방의 회원국이었지만, 그렇지 않는 국가들도 상당합니다. 제2차 세계대전 초기에, 영국은 비상 입법을 통해 파운드화의 외부 가치를 보호하기 위해 파운드화권 국가들과 영토들을 단일교환 통제구역에 통합했습니다. 캐나다와 뉴펀들랜드만이 이미 미국 달러와 연결되어 있다는 이유로 파운드화권에 가입하지 않았습니다. 런던의 영국은행은 통화 지역의 통화정책의 조정을 지도했습니다. 자국 통화를 가진 회원국들은 자국통화 보유액의 상당 부분을 런던에서 잔액으로 보유하고 있었습니다. 제2차 세계대전 이후 미국 달러화에 대한 고정환율제(금화로 환산할 수 있는) 브레튼우즈체제는 영국에 두번째 기회를 줬습니다. 직접 달러 고정. 그럼에도 파운드화는 전쟁 전의 위상을 되찾지 못했습니다. 그리고 황폐하고 재정적으로 지친 영국은 체계에 대한 신뢰를 유지하기 위해 파운드화의 국제적인 가치를 방어할 수 없었고, 이는 1967년 3월 달러 대비 파운드의 평가절하를 초래했습니다. 결국, 브레튼우즈의 금본위제를 지키지 못한 미 달러화는 고정환율시대의 종말을 앞당겼습니다: 파운드화를 포함한 모든 주요 통화들이 미달러화에 대해 유동적으로 변동하면서, 스털링 지역은 최종적인 위협요소를 상실했습니다. 1972년 6월, 영국 정부는 (아일랜드, 맨, 저지와 협의 후) 아일랜드, 인섬, 채널 제도의 왕실 영토를 제외한 파운드화 지역이나 국가들에 일방적으로 교환 통제를 적용했습니다. 이는 거의 파운드화권의 끝을 나타냅니다. 1970년대와 1980년대 초의 나머지 기간 동안, 남아있는 파운드화 수지는 현대세계무역에서 영국의 중요성을 나타내는 수준으로 축소됐습니다.;The sterling area (or sterling bloc, legally scheduled territories) was a group of countries that either pegged their currencies to the pound sterling, or actually used the pound as their own currency. The area began to appear informally during the early 1930s, after the pound had left the gold standard in 1931, with the result that a number of currencies of countries that historically had performed a large amount of their trade in sterling were pegged to sterling instead of to gold. A large number of these countries were members of the British Empire and Commonwealth; however, a significant minority were not. Early in the Second World War, emergency legislation united the sterling bloc countries and territories (except Hong Kong) of the British Empire in a single exchange control area to protect the external value of the pound, among other aims. Canada and Newfoundland were already linked to the US dollar and did not join the sterling block. The Bank of England in London guided co-ordination of monetary policy in the currency area. Member countries with their own currency held a large portion of their foreign currency reserves as sterling balances in London. After the Second World War, the Bretton Woods system of fixed exchange rates to the US dollar (convertible to gold) gave the Sterling Area a second lease of life as Commonwealth kinship and trading loyalties were maintained after Britain's withdrawal from Empire by keeping a sterling peg and staying in the Sterling Area, rather than maintaining a direct dollar peg. Despite this, sterling did not regain anything like its place in international commerce that it had had before the war, and a devastated and financially exhausted Britain could not defend the international value of the pound to maintain confidence in the system, resulting in a devaluation of sterling against the dollar in 1967 that was not reflected in other Sterling Area currencies. In the end the US dollar's inability to hold to the Bretton Woods gold standard precipitated the end of the era of fixed exchange rates: with all major currencies including the pound floating against the US dollar, the Sterling Area had lost its final raison d'etre. In June 1972, the British government (in consultation with the Irish, Manx, Jersey and Guernsey governments)[citation needed] unilaterally applied exchange controls to the other Sterling Area countries, with the exception of Ireland, the Isle of Man, and the Crown dependencies in the Channel Islands. This arguably marked the end of the Sterling Area. During the rest of the 1970s and early 1980s the remaining sterling balances were wound down to a level that represented the significance of Britain in contemporary world trade.;;;;;;;;x;;;;;;;;;;;;;
adb_member;아시아 개발은행 회원국;Member of the Asian Development Bank;;;;;;;;x;;;;;;;;;;;;;
adb_chairmanship;아시아 개발은행 의장국;Holder of the Asian Development Bank Chairmanship;;;;;;;;x;;;;;;;;;;;;;
formtheadb_title;아시아 개발은행 설립;Establish the Asian Development Bank;;;;;;;;x;;;;;;;;;;;;;
formtheadb_desc;아시아개발은행은 1966년 12월 19일에 설립된 지역개발은행으로, 필리핀 마닐라 만달루용의 오르티가스에 본사가 위치하며, 아시아 지역사회 및 경제발전을 촉진하기 위해 전세계에 31개의 현장사무소를 운영합니다. 해당 은행은 아시아-태평양 및 비지역 선진국들을 위한 국제연합 경제사회위원회의 회원국들을 인정합니다. 설립 당시 31개국이었고, 현재는 67개국의 회원국을 보유하고 있으며, 이 중 48개국이 아시아-태평양 지역, 19명은 외부대륙에 위치합니다. 이들은 세계은행을 본보기로, 회원국의 자본투자에 비례해 표를 분배하는 가중투표제도를 실시하며 운영, 예산 및 기타 일반인의 검토를 위한 자료를 요약한 연례보고서를 매년 발표합니다. 2014년 말 기준으로 일본이 15.7%로 가장 큰 비중을 차지하며 미국이 15.6%, 중국이 6.5%, 인도가 6.4%, 호주가 5.8%입니다.;The Asian Development Bank (ADB) is a regional development bank established on 19 December 1966 which is headquartered in Ortigas Center located in Mandaluyong, Metro Manila, Philippines, and maintains 31 field offices around the world, to promote social and economic development in Asia. The bank admits the members of the United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP, formerly the Economic Commission for Asia and the Far East or ECAFE) and non-regional developed countries. From 31 members at its establishment, ADB now has 67 members, of which 48 are from within Asia and the Pacific and 19 outside. The ADB was modeled closely on the World Bank, and has a similar weighted voting system where votes are distributed in proportion with members' capital subscriptions. ADB releases an annual report that summarizes its operations, budget and other materials for review by the public. At the end of 2014, Japan holds the largest proportion of shares at 15.7%. The United States holds 15.6%, China holds 6.5%, India holds 6.4%, and Australia holds 5.8%.;;;;;;;;x;;;;;;;;;;;;;
jointheadb_title;아시아개발은행 가입;Join the Asian Development Bank;;;;;;;;x;;;;;;;;;;;;;
jointheadb_desc;아시아개발은행은 1966년 12월 19일에 설립된 지역개발은행으로, 필리핀 마닐라 만달루용의 오르티가스에 본사가 위치하며, 아시아 지역사회 및 경제발전을 촉진하기 위해 전세계에 31개의 현장사무소를 운영합니다. 해당 은행은 아시아-태평양 및 비지역 선진국들을 위한 국제연합 경제사회위원회의 회원국들을 인정합니다. 설립 당시 31개국이었고, 현재는 67개국의 회원국을 보유하고 있으며, 이 중 48개국이 아시아-태평양 지역, 19명은 외부대륙에 위치합니다. 이들은 세계은행을 본보기로, 회원국의 자본투자에 비례해 표를 분배하는 가중투표제도를 실시하며 운영, 예산 및 기타 일반인의 검토를 위한 자료를 요약한 연례보고서를 매년 발표합니다. 2014년 말 기준으로 일본이 15.7%로 가장 큰 비중을 차지하며 미국이 15.6%, 중국이 6.5%, 인도가 6.4%, 호주가 5.8%입니다.;The Asian Development Bank (ADB) is a regional development bank established on 19 December 1966 which is headquartered in Ortigas Center located in Mandaluyong, Metro Manila, Philippines, and maintains 31 field offices around the world, to promote social and economic development in Asia. The bank admits the members of the United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP, formerly the Economic Commission for Asia and the Far East or ECAFE) and non-regional developed countries. From 31 members at its establishment, ADB now has 67 members, of which 48 are from within Asia and the Pacific and 19 outside. The ADB was modeled closely on the World Bank, and has a similar weighted voting system where votes are distributed in proportion with members' capital subscriptions. ADB releases an annual report that summarizes its operations, budget and other materials for review by the public. At the end of 2014, Japan holds the largest proportion of shares at 15.7%. The United States holds 15.6%, China holds 6.5%, India holds 6.4%, and Australia holds 5.8%.;;;;;;;;x;;;;;;;;;;;;;
leavetheadb_title;아시아개발은행 탈퇴;Leave the Asian Development Bank;;;;;;;;x;;;;;;;;;;;;;
